,PlayerName,TeamName,Continent,Type,Match1,Match2,Match3,Match4,Match5,Match6,Match7,Match8,Match9,Match10,Match11,TotalRuns,MatchesPlayed,WicketsTaken,OversBowled,RunsConceded,Economy
58,Kasun Rajitha,Sri Lanka,Asia,Bowler,33.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,52,9,8,49.0,336.0,6.86
59,Matheesha Parthirana,Sri Lanka,Asia,Bowler,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,9,2,19.0,185.0,9.74
60,Lahiru Kumara,Sri Lanka,Asia,Bowler,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9,3,11.0,82.0,7.45
61,Dilshan Madushanka,Sri Lanka,Asia,Bowler,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,19.0,0.0,0.0,28,9,21,78.2,525.0,6.71
62,Shakib Al Hasan,Bangladesh,Asia,All-Rounder,14.0,1.0,40.0,0.0,1.0,5.0,43.0,82.0,0.0,0.0,0.0,186,9,9,62.3,329.0,5.28
63,Litton Kumar Das,Bangladesh,Asia,Batter,13.0,76.0,0.0,66.0,22.0,3.0,45.0,23.0,36.0,0.0,0.0,284,9,0,0.0,0.0,0.0
64,Tanzid Hasan Tamim,Bangladesh,Asia,Bowler,5.0,1.0,16.0,51.0,12.0,15.0,0.0,9.0,36.0,0.0,0.0,145,9,0,0.0,0.0,0.0
65,Najmul Hossain Shanto,Bangladesh,Asia,Batter,59.0,0.0,7.0,8.0,0.0,9.0,4.0,90.0,45.0,0.0,0.0,222,9,0,0.0,0.0,0.0
66,Tawhid Hridoy,Bangladesh,Asia,Batter,0.0,39.0,13.0,16.0,0.0,0.0,7.0,15.0,74.0,0.0,0.0,164,9,0,0.0,0.0,0.0
67,Mushfiqur Rahim,Bangladesh,Asia,Bowler,2.0,51.0,66.0,38.0,8.0,1.0,5.0,10.0,21.0,0.0,0.0,202,9,0,0.0,0.0,0.0
68,Muhmudullah Riyad,Bangladesh,Asia,Bowler,0.0,0.0,41.0,46.0,111.0,20.0,56.0,22.0,32.0,0.0,0.0,328,9,0,5.0,33.0,6.6
69,Mehidy Hasan Miraz,Bangladesh,Asia,Bowler,0.0,8.0,30.0,3.0,0.0,35.0,25.0,3.0,29.0,0.0,0.0,133,9,0,80.0,432.0,5.4
70,Nasum Ahmed,Bangladesh,Asia,All-Rounder,0.0,0.0,0.0,14.0,19.0,0.0,0.0,0.0,7.0,0.0,0.0,40,9,0,24.3,172.0,7.08
71,Shak Mahedi Hasan,Bangladesh,Asia,All-Rounder,57.0,14.0,0.0,0.0,11.0,17.0,0.0,0.0,2.0,0.0,0.0,101,9,16,16.0,119.0,7.44
72,Taskin Ahmed,Bangladesh,Asia,Bowler,0.0,15.0,17.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,49,9,5,55.0,305.0,5.55
73,Mustafizur Rahman,Bangladesh,Asia,Bowler,0.0,3.0,4.0,1.0,11.0,20.0,3.0,0.0,0.0,0.0,0.0,42,9,6,62.3,398.0,6.39
74,Hasan Mahmud,Bangladesh,Asia,Batter,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15,9,2,14.0,132.0,9.43
75,Shoriful Islam,Bangladesh,Asia,Batter,0.0,12.0,2.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,28,9,10,64.4,409.0,6.35
76,Tanzim Hasan Sakib,Bangladesh,Asia,Batter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5,9,3,10.0,80.0,8.0
77,Temba Bavuma,South Africa,Africa,Batter,8.0,35.0,16.0,0.0,0.0,28.0,24.0,11.0,23.0,0.0,0.0,145,10,0,0.0,0.0,0.0
78,Gerald Coetzee,South Africa,Africa,Bowler,0.0,0.0,22.0,3.0,0.0,10.0,0.0,0.0,0.0,19.0,0.0,54,10,20,63.3,396.0,6.26
79,Quinton de Kock,South Africa,Africa,Batter,100.0,109.0,20.0,4.0,174.0,24.0,114.0,5.0,41.0,3.0,0.0,594,10,0,0.0,0.0,0.0
80,Reeza Hendricks,South Africa,Africa,Bowler,0.0,0.0,0.0,85.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,97,10,0,0.0,0.0,0.0
81,Marco Jansen,South Africa,Africa,Batter,12.0,26.0,9.0,75.0,1.0,20.0,0.0,14.0,0.0,0.0,0.0,157,10,17,69.0,450.0,6.52
82,Heinrich Klaasen,South Africa,Africa,Batter,32.0,29.0,28.0,109.0,90.0,12.0,15.0,1.0,10.0,47.0,0.0,373,10,0,0.0,0.0,0.0
83,Keshav Maharaj,South Africa,Africa,All-Rounder,0.0,0.0,40.0,1.0,0.0,7.0,0.0,7.0,0.0,4.0,0.0,59,10,15,89.0,370.0,4.16
84,Aiden Markram,South Africa,Africa,Batter,106.0,56.0,1.0,42.0,60.0,91.0,6.0,9.0,25.0,10.0,0.0,406,10,1,18.3,85.0,4.64
85,David Miller,South Africa,Africa,Batter,39.0,17.0,43.0,5.0,34.0,29.0,53.0,11.0,24.0,101.0,0.0,356,10,0,0.0,0.0,0.0
86,Lungi Ngidi,South Africa,Africa,Bowler,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11,10,10,60.3,355.0,5.89
87,Andile Phehlukwayo,South Africa,Africa,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,39,10,1,7.0,36.0,5.14
