PlayerName,TeamName,Continent,Type,1,2,3,4,5,6,7,8,9,10,11,TotalRuns,MatchesPlayed,21,22,23,24,25,26,27,28,29,30,31,WicketsTaken,OversBowled,RunsConceded,Economy
Mohommad Nabi,Afganistan,Asia,All-Rounder,6,19,9,7,0,0,0,12,2,,,55,9,0,0,0,0,1,0,3,0,2,0,0,6,61.3,254,4.14
Najibullah Zadran,Afganistan,Asia,Batter,5,2,,,,,,,,,,7,9,0,0,2,0,0,0,0,0,0,0,0,2,,,
Rashid Khan,Afganistan,Asia,Bowler,9,16,23,8,0,0,0,35,14,,,105,9,0,2,3,1,0,1,0,2,2,0,0,11,86.3,388,4.5
Mujeeb ur Rahman,Afganistan,Asia,Bowler,1,10,28,4,0,0,0,0,8,,,51,9,0,0,3,1,0,2,1,0,1,0,0,8,81.5,458,5.62
Naveen-ul-Haq,Afganistan,Asia,Bowler,0,9,5,0,0,0,,0,2,,,16,9,1,0,1,2,2,0,0,2,0,0,0,8,53.4,352,6.59
Fazallaq Farooqi,Afganistan,Asia,Bowler,0,0,2,0,,0,0,,,,,2,9,1,0,1,0,0,4,0,0,0,0,0,6,40,228,5.7
Riaz Hasan,Afganistan,Asia,Bowler,,,,,,,,,,,,0,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Ikram Alikhil,Afganistan,Asia,Batter,,,58,19,0,0,0,0,12,,,89,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Noor Ahmad,Afganistan,Asia,Bowler,,,,,0,,0,0,26,,,26,9,0,0,0,0,3,0,2,0,0,0,0,5,38,182,4.79
Abdul Rahman,Afganistan,Asia,Bowler,,,,,,,,,,,,0,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Dasun Shanaka,Sri Lanka,Asia,All-Rounder,68,12,,,,,,,,,,80,9,0,0,0,0,0,0,0,0,0,0,0,0,11,64,5.82
Kusal Mendis,Sri Lanka,Asia,Batter,76,122,9,11,11,39,1,19,6,,,294,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kusal Perera,Sri Lanka,Asia,All-Rounder,7,0,78,5,4,,,4,51,,,149,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Pathum Nissanka,Sri Lanka,Asia,Bowler,0,51,61,54,77,46,0,41,2,,,332,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Dushmantha Chameera,Sri Lanka,Asia,Bowler,,,,,,1,0,4,1,,,6,9,0,0,0,0,0,0,1,0,1,0,0,2,31.2,196,6.28
Dimuth Karunaratne,Sri Lanka,Asia,Batter,,,2,0,,15,0,,6,,,23,9,0,0,0,0,0,0,0,0,0,0,0,0,12,73,6.08
Sadeera Samarawickrama,Sri Lanka,Asia,Batter,23,108,8,91,65,36,0,41,1,,,373,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Angelo Mathus,Sri Lanka,Asia,All-Rounder,,,,,0,23,12,0,16,,,51,9,0,0,0,0,2,0,0,2,2,0,0,6,22.1,107,4.84
Charith Asalanka,Sri Lanka,Asia,All-Rounder,79,1,25,44,0,22,1,108,8,,,288,9,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10
Dhananjaya De Silva,Sri Lanka,Asia,All-Rounder,11,25,7,30,0,14,,34,19,,,140,9,0,0,0,0,0,0,0,0,0,0,0,0,25,174,6.96
Dushan Hemantha,Sri Lanka,Asia,Bowler,,,,4,,,0,,,,,4,9,0,0,0,0,0,0,0,0,0,0,0,0,16,94,5.88
Maheesh Theekshana,Sri Lanka,Asia,Bowler,,0,0,0,0,29,12,21,38,,,100,9,0,1,0,1,1,0,0,2,1,0,0,6,71.2,382,5.37
Dunith Wellalage,Sri Lanka,Asia,Bowler,0,10,2,,,,,,,,,12,9,1,0,1,0,0,0,0,0,0,0,0,2,29.2,196,6.71
Kasun Rajitha,Sri Lanka,Asia,Bowler,33,,,0,0,5,14,0,,,,52,9,1,0,0,4,2,1,0,0,0,0,0,8,49,336,6.86
Matheesha Parthirana,Sri Lanka,Asia,Bowler,5,1,,,,,,,,,,6,9,1,1,0,0,0,0,0,0,0,0,0,2,19,185,9.74
Lahiru Kumara,Sri Lanka,Asia,Bowler,,,4,,0,,,,,,,4,9,0,0,0,0,3,0,0,0,0,0,0,3,11,82,7.45
Dilshan Madushanka,Sri Lanka,Asia,Bowler,4,0,0,0,0,0,5,0,19,,,28,9,2,2,3,4,0,2,5,3,0,0,0,21,78.2,525,6.71
Shakib Al Hasan,Bangladesh,Asia,All-Rounder,14,1,40,,1,5,43,82,,,,186,9,3,1,1,0,1,1,0,2,0,0,0,9,62.3,329,5.28
Litton Kumar Das,Bangladesh,Asia,Batter,13,76,0,66,22,3,45,23,36,,,284,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Tanzid Hasan Tamim,Bangladesh,Asia,Bowler,5,1,16,51,12,15,0,9,36,,,145,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Najmul Hossain Shanto,Bangladesh,Asia,Batter,59,0,7,8,0,9,4,90,45,,,222,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Tawhid Hridoy,Bangladesh,Asia,Batter,0,39,13,16,,,7,15,74,,,164,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Mushfiqur Rahim,Bangladesh,Asia,Bowler,2,51,66,38,8,1,5,10,21,,,202,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Muhmudullah Riyad,Bangladesh,Asia,Bowler,0,,41,46,111,20,56,22,32,,,328,9,0,0,0,0,0,0,0,0,0,0,0,0,5,33,6.6
Mehidy Hasan Miraz,Bangladesh,Asia,Bowler,,8,30,3,,35,25,3,29,,,133,9,0,0,0,0,0,0,0,0,0,0,0,0,80,432,5.4
Nasum Ahmed,Bangladesh,Asia,All-Rounder,,,,14,19,,,,7,,,40,9,0,0,0,0,0,0,0,0,0,0,0,0,24.3,172,7.08
Shak Mahedi Hasan,Bangladesh,Asia,All-Rounder,57,14,,,11,17,,,2,,,101,9,3,4,0,2,1,2,3,1,0,0,0,16,16,119,7.44
Taskin Ahmed,Bangladesh,Asia,Bowler,0,15,17,,,11,6,0,0,,,49,9,1,1,0,0,0,2,0,0,1,0,0,5,55,305,5.55
Mustafizur Rahman,Bangladesh,Asia,Bowler,0,3,4,1,11,20,3,,0,,,42,9,1,0,1,1,0,2,0,0,1,0,0,6,62.3,398,6.39
Hasan Mahmud,Bangladesh,Asia,Batter,,,,0,15,,,,,,,15,9,0,0,0,0,2,0,0,0,0,0,0,2,14,132,9.43
Shoriful Islam,Bangladesh,Asia,Batter,0,12,2,7,6,0,1,0,,,,28,9,2,3,0,0,1,2,0,2,0,0,0,10,64.4,409,6.35
Tanzim Hasan Sakib,Bangladesh,Asia,Batter,,,,,,,,5,,,,5,9,0,0,0,0,0,0,0,3,0,0,0,3,10,80,8
Temba Bavuma,South Africa,Africa,Batter,8,35,16,,,28,24,11,23,0,,145,10,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gerald Coetzee,South Africa,Africa,Bowler,0,,22,3,0,10,0,,0,19,,54,10,3,0,1,3,3,2,2,0,4,2,0,20,63.3,396,6.26
Quinton de Kock,South Africa,Africa,Batter,100,109,20,4,174,24,114,5,41,3,,594,10,0,0,0,0,0,0,0,0,0,0,0,0,,,
Reeza Hendricks,South Africa,Africa,Bowler,,,,85,12,,,,,,,97,10,0,0,0,0,0,0,0,0,0,0,0,0,,,
Marco Jansen,South Africa,Africa,Batter,12,26,9,75,1,20,0,14,,0,,157,10,2,2,2,2,2,3,3,1,0,0,0,17,69,450,6.52
Heinrich Klaasen,South Africa,Africa,Batter,32,29,28,109,90,12,15,1,10,47,,373,10,0,0,0,0,0,0,0,0,0,0,0,0,,,
Keshav Maharaj,South Africa,Africa,All-Rounder,0,0,40,1,0,7,0,7,0,4,,59,10,2,2,1,1,1,0,4,1,2,1,0,15,89,370,4.16
Aiden Markram,South Africa,Africa,Batter,106,56,1,42,60,91,6,9,25,10,,406,10,0,0,0,0,0,0,0,0,0,1,0,1,18.3,85,4.64
David Miller,South Africa,Africa,Batter,39,17,43,5,34,29,53,11,24,101,,356,10,0,0,0,0,0,0,0,0,0,0,0,0,,,
Lungi Ngidi,South Africa,Africa,Bowler,0,0,7,0,,4,0,0,0,,,11,10,1,1,2,2,0,1,0,1,2,0,0,10,60.3,355,5.89
Andile Phehlukwayo,South Africa,Africa,Bowler,,,,,,,,,39,,,39,10,0,0,0,0,0,0,0,0,1,0,0,1,7,36,5.14
